S 10 24785;11:05;Uetliberg;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zuerich HB SZU
IR 2168;11:06;Bern ;Zuerich HB- Baden- Brugg AG- Aarau- Olten- Bern;17
IC 813;11:07;Romanshorn ;Zuerich HB- Zuerich Flughafen- Winterthur- Frauenfeld- Weinfelden- Amriswil- Romanshorn;33
S 8 18841;11:07;Pfaeffikon SZ ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Waedenswil- Richterswil- Pfaeffikon SZ;32
S 9 18940;11:07;Schaffhausen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Buelach- Eglisau- Neuhausen- Schaffhausen;41/42
IR 2264;11:08;Basel SBB ;Zuerich HB- Lenzburg- Aarau- Sissach- Liestal- Basel SBB;13
ICN 869;11:09;Lugano ;Zuerich HB- Zug- Arth-Goldau- Bellinzona- Lugano;7
IR 2068;11:09;Basel SBB ;Zuerich HB- Zuerich Altstetten- Dietikon- Baden- Brugg AG- Frick- Rheinfelden- Basel SBB;31
IR 2265;11:09;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- Wil SG- Gossau SG- St. Gallen;9
S 5 18540;11:09;Zug ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Urdorf-  Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19541;11:10;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil;43/44
S 19 19940;11:11;Dietikon ;Zuerich HB- Zuerich Altstetten- Dietikon;32
RE 5069;11:12;Chur ;Zuerich HB- Thalwil- Waedenswil- Pfaeffikon SZ-  Siebnen-Wangen- Ziegelbruecke- Walenstadt- Sargans- Landquart- Chur;8
S 7 18741;11:12;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Meilen- Uetikon-  Maennedorf- Staefa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19441;11:12;Hinwil ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Duebendorf-  Schwerzenbach ZH- Naenikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 2 18240;11:14;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;33
S 12 19240;11:14;Brugg AG ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20440;11:14;Winterthur ;Zuerich HB- Zuerich Wipkingen- Zuerich Oerlikon- Zuerich Flughafen- Bassersdorf- Effretikon- Winterthur;5
S 16 19641;11:15;Herrliberg-Feldmeilen ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon- Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Herrliberg-Feldmeilen;43/44
S 16 19640;11:16;Zuerich Flughafen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Flughafen;41/42
ICB 42226;11:16;Muenchen ZOB (Hackerbruecke) ;Zuerich, Sihlquai/HB;13
S 2 18241;11:17;Ziegelbruecke ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Thalwil-  Horgen- Waedenswil- Richterswil- Pfaeffikon SZ- Siebnen-Wangen- Ziegelbruecke;31
S 12 19241;11:17;Seuzach ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Winterthur- Oberwinterthur- Winterthur Wallrueti- Reutlingen- Seuzach;43/44
S 4 24487;11:18;Sihlwald;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Langnau-Gattikon- Sihlwald;21-Zuerich HB SZU
S 7 18740;11:19;Winterthur ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Opfikon-  Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19440;11:19;Affoltern am Albis ;Zuerich HB- Zuerich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19941;11:19;Effretikon ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20441;11:21;Zug ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
S 15 19540;11:22;Niederweningen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Dielsdorf- Schoefflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
S 5 18541;11:25;Pfaeffikon SZ ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil- Pfaeffikon SZ;43/44
S 8 18840;11:25;Winterthur ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon- Winterthur;33
S 10 24789;11:25;Zuerich Triemli;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli;22-Zuerich HB SZU
S 9 18941;11:28;Uster ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Duebendorf- Schwerzenbach ZH- Naenikon-Greifensee- Uster;43/44
S 3 18340;11:29;Dietikon ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren- Glanzenberg- Dietikon;41/42
ICN 1518;11:30;Lausanne ;Zuerich HB- Olten- Oensingen- Solothurn- Grenchen Sued- Biel/Bienne- Neuchâtel- Yverdon-les-Bains- Lausanne;31
S 6 18641;11:30;Uetikon ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon-  Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Meilen- Uetikon;43/44
S 6 18642;11:31;Baden ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Seebach-  Zuerich Affoltern- Regensdorf-Watt- Buchs-Daellikon- Otelfingen Golfpark- Wettingen- Baden;41/42
EC 17;11:32;Milano Centrale ;Zuerich HB- Zug- Arth-Goldau- Bellinzona- Lugano- Chiasso- Como S. Giovanni- Monza- Milano Centrale;9
IC 716;11:32;Geneve-Aeroport ;Zuerich HB- Bern- Fribourg/Freiburg- Lausanne- Geneve- Geneve-Aéroport;32
IC 713;11:33;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- St. Gallen;34
S 3 18343;11:33;Wetzikon ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Dietlikon-  Effretikon- Illnau- Fehraltorf- Pfaeffikon ZH- Kempten- Wetzikon;43/44
TGV 9218;11:34;Paris-Gare de Lyon ;Zuerich HB- Basel SBB- Mulhouse Ville- Belfort-Montbéliard TGV- Paris-Gare de Lyon;15
IR 2643;11:35;Luzern ;Zuerich HB- Thalwil- Baar- Zug- Rotkreuz- Luzern;8
IR 2818;11:35;Schaffhausen ;Zuerich HB- Schaffhausen;7
S 10 24791;11:35;Uetliberg;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli- Uitikon Waldegg- Ringlikon- Uetliberg;22-Zuerich HB SZU
