S 4 24467;09:38;Langnau-Gattikon;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zuerich HB SZU
ICN 1513;09:39;St. Gallen ;Zuerich HB- Zuerich Flughafen- Winterthur- Wil SG- Uzwil- Flawil- Gossau SG- St. Gallen;33
S 5 18534;09:39;Zug ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Urdorf-  Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis- Zug;41/42
S 15 19535;09:40;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil;43/44
S 19 19934;09:41;Dietikon ;Zuerich HB- Zuerich Altstetten- Dietikon;32
S 7 18735;09:42;Rapperswil ;Zuerich HB- Zuerich Stadelhofen- Meilen- Uetikon-  Maennedorf- Staefa- Uerikon- Feldbach- Kempraten- Rapperswil;43/44
S 14 19435;09:42;Hinwil ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Duebendorf-  Schwerzenbach ZH- Naenikon-Greifensee- Uster- Aathal- Wetzikon- Hinwil;34
S 25 20535;09:43;Linthal ;Zuerich HB- Waedenswil- Pfaeffikon SZ- Lachen-  Siebnen-Wangen- Ziegelbruecke- Nieder- und Oberurnen- Naefels-Mollis- Schwanden GL- Linthal;6
S 2 18234;09:44;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;33
S 12 19234;09:44;Brugg AG ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Wettingen- Baden- Turgi- Brugg AG;41/42
S 24 20434;09:44;Thayngen ;Zuerich HB- Zuerich Wipkingen- Zuerich Oerlikon- Zuerich Flughafen-  Effretikon- Winterthur- Neuhausen- Schaffhausen- Herblingen- Thayngen;5
S 16 19635;09:45;Herrliberg-Feldmeilen ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon- Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Herrliberg-Feldmeilen;43/44
S 16 19634;09:46;Zuerich Flughafen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Flughafen;41/42
S 2 18235;09:47;Ziegelbruecke ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Thalwil-  Horgen- Waedenswil- Richterswil- Pfaeffikon SZ- Siebnen-Wangen- Ziegelbruecke;31
S 12 19235;09:47;Winterthur Seen ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Winterthur- Winterthur Grueze- Winterthur Seen;43/44
S 7 18734;09:49;Winterthur ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Opfikon-  Kloten Balsberg- Kloten- Bassersdorf- Effretikon- Kemptthal- Winterthur;41/42
S 14 19434;09:49;Affoltern am Albis ;Zuerich HB- Zuerich Altstetten- Urdorf- Urdorf Weihermatt- Birmensdorf ZH- Bonstetten-Wettswil- Hedingen- Affoltern am Albis;32
S 19 19935;09:49;Effretikon ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon- Effretikon;34
S 24 20435;09:51;Zug ;Zuerich HB- Zuerich Wiedikon- Zuerich Enge- Zuerich Wollishofen-  Kilchberg- Rueschlikon- Thalwil- Horgen Oberdorf- Baar- Zug;4
IR 2063;09:52;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;33
S 15 19534;09:52;Niederweningen ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Glattbrugg-  Ruemlang- Oberglatt- Dielsdorf- Schoefflisdorf-Oberweningen- Niederweningen Dorf- Niederweningen;41/42
IR 2364;09:55;Bern ;Zuerich HB- Olten- Langenthal- Herzogenbuchsee- Burgdorf- Bern;18
S 5 18535;09:55;Pfaeffikon SZ ;Zuerich HB- Zuerich Stadelhofen- Uster- Wetzikon- Bubikon- Rueti ZH- Jona- Rapperswil- Pfaeffikon SZ;43/44
S 8 18834;09:55;Weinfelden ;Zuerich HB- Zuerich Oerlikon- Wallisellen- Dietlikon-  Effretikon- Winterthur- Oberwinterthur- Wiesendangen- Frauenfeld- Weinfelden;34
S 10 24771;09:55;Zuerich Triemli;Zuerich HB SZU- Zuerich Selnau- Zuerich Binz- Zuerich Friesenberg- Zuerich Schweighof- Zuerich Triemli;22-Zuerich HB SZU
S 9 18935;09:58;Uster ;Zuerich HB- Zuerich Stadelhofen- Stettbach- Duebendorf- Schwerzenbach ZH- Naenikon-Greifensee- Uster;43/44
S 4 24471;09:58;Langnau-Gattikon;Zuerich HB SZU- Zuerich Selnau- Zuerich Giesshuebel- Zuerich Saalsporthalle-  Zuerich Brunau- Zuerich Manegg- Zuerich Leimbach- Sood-Oberleimbach- Adliswil- Langnau-Gattikon;21-Zuerich HB SZU
S 3 18334;09:59;Aarau ;Zuerich HB- Zuerich Hardbruecke- Zuerich Altstetten- Schlieren-  Glanzenberg- Dietikon- Killwangen-Spreitenbach- Othmarsingen- Lenzburg- Aarau;41/42
ICE 74;10:00;Kiel Hbf ;Zuerich HB- Basel SBB- Basel Bad Bf- Freiburg (Breisgau) Hbf-  Karlsruhe Hbf- Mannheim Hbf- Frankfurt (Main) Hbf- Hannover Hbf- Hamburg Hbf- Kiel Hbf;15
S 6 18635;10:00;Uetikon ;Zuerich HB- Zuerich Stadelhofen- Zuerich Tiefenbrunnen- Zollikon-  Kuesnacht Goldbach- Kuesnacht ZH- Erlenbach ZH- Winkel am Zuerichsee- Meilen- Uetikon;43/44
IR 2632;10:01;Zuerich Flughafen ;Zuerich HB- Zuerich Oerlikon- Zuerich Flughafen;6
S 6 18636;10:01;Baden ;Zuerich HB- Zuerich Hardbruecke- Zuerich Oerlikon- Zuerich Seebach-  Zuerich Affoltern- Regensdorf-Watt- Buchs-Daellikon- Otelfingen Golfpark- Wettingen- Baden;41/42
IC 812;10:02;Brig ;Zuerich HB- Bern- Thun- Spiez- Visp- Brig;31
ICN 516;10:03;Geneve-Aeroport ;Zuerich HB- Aarau- Olten- Solothurn-  Biel/Bienne- Neuchatel- Yverdon-les-Bains- Morges- Geneve- Geneve-Aeroport;16
